Assembly Accession	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_020086995.1	Aaosphaeria arxii	38727497	Scaffold	2021-09-21	JADCQW01	863679	1262728
GCF_010015735.1	Aaosphaeria arxii CBS 175.79	38901049	Scaffold	2020-01-29	JAADKL01	449405	4421818
GCA_010015735.1	Aaosphaeria arxii CBS 175.79	38901049	Scaffold	2020-01-29	JAADKL01	449405	4421818
GCA_002812265.1	Abeoforma whisleri	101529164	Scaffold	2017-12-05	PDIO01	1295	2176
GCA_018237985.1	Abisara bifasciata	332741916	Contig	2021-05-03	DWAB01	464	
GCA_022606235.1	Abortiporus biennis	33118568	Contig	2022-03-16	JABYQP01	721010	
GCA_022829085.1	Abramis brama	1067396354	Chromosome	2022-04-08	JAKJNB01	10167936	42463096
GCA_022829165.1	Abramis brama	807598560	Contig	2022-04-06	JAKJNC01	677129	
GCA_905340225.1	Abrostola tripartita	381042155	Chromosome	2021-03-25	CAJPHX01	13645312	13645312
GCA_905340255.1	Abrostola tripartita	377898841	Contig	2021-03-25	CAJPIA01	3518944	
GCF_003935025.1	Abrus precatorius	347230236	Scaffold	2018-12-11	QYUI01	11837218	35860769
GCA_003935025.1	Abrus precatorius	347230236	Scaffold	2018-12-11	QYUI01	11837218	35860769
GCA_024086825.1	Abrus pulchellus subsp. cantoniensis	381267853	Chromosome	2022-07-06	JAKRVW01	18958252	38036150
GCA_023634445.1	Abrus pulchellus subsp. cantoniensis	381267853	Chromosome	2022-06-02	JALDQU01	18958252	38036150
GCA_013368085.1	Abscondita terminalis	499652588	Scaffold	2020-06-23	JABVZW01	1220005	1220005
GCA_900079185.1	Absidia glauca	48746359	Scaffold	2016-04-15	FKIZ01	11176	318481
GCA_019677225.1	Absidia healeyae	43508936	Scaffold	2021-08-18	JAFHAR01	4223	33835
GCA_002105175.1	Absidia repens	47422896	Contig	2017-04-20	MCGE01	1295254	
GCA_019677255.1	Absidia sp. UoMAU379	49417851	Scaffold	2021-08-18	JABLTD01	2764	19150
GCA_019022655.1	Acacia acuminata	879910866	Contig	2021-06-24	JAFJYI01	2857318	
GCA_019022615.1	Acacia melanoxylon	748931491	Contig	2021-06-24	JAFJYJ01	9074062	
GCA_000826245.1	Acanthamoeba astronyxis	83432518	Scaffold	2015-01-07	CDFH01	5311	6445
GCA_000193105.1	Acanthamoeba castellanii	46714639	Scaffold	2011-03-22	AEYA01	104294	564894
GCA_000826485.1	Acanthamoeba castellanii	115049889	Scaffold	2015-01-07	CDFL01	1362	2046
GCA_021020595.1	Acanthamoeba castellanii	46148651	Contig	2021-12-01	JAJGAO01	1400134	
GCA_021020605.1	Acanthamoeba castellanii	43828572	Contig	2021-12-01	JAJGAP01	1332098	
